ts,price,phase,q_hold,q_high,q_low,action_idx,action,entry,reason
2025-11-21T21:51:00.032476,156.791,0.0005,1254.118408203125,3337.81689453125,91.98408508300781,1,High,1,entry_executed
2025-11-21T21:51:01.712790,156.796,0.0285,1251.131591796875,3324.415771484375,97.95903015136719,1,High,0,cooldown
2025-11-21T21:51:02.608721,156.786,0.0435,1257.6258544921875,3352.11279296875,86.26298522949219,1,High,0,cooldown
2025-11-21T21:51:03.514433,156.786,0.0586,1257.2847900390625,3350.848876953125,86.74531555175781,1,High,0,cooldown
2025-11-21T21:51:04.437849,156.784,0.074,1258.36279296875,3355.079345703125,85.24870300292969,1,High,0,cooldown
2025-11-21T21:51:05.354168,156.785,0.0892,1257.4696044921875,3351.529541015625,86.56550598144531,1,High,0,cooldown
2025-11-21T21:51:06.251581,156.783,0.1042,1258.6600341796875,3356.068359375,84.99540710449219,1,High,0,cooldown
2025-11-21T21:51:07.176355,156.782,0.1196,1253.9598388671875,3335.654052734375,94.27876281738281,1,High,0,cooldown
2025-11-21T21:51:08.198473,156.781,0.1366,1258.22509765625,3354.31640625,85.86799621582031,1,High,0,cooldown
2025-11-21T21:51:09.183375,156.781,0.1531,1254.884033203125,3339.875732421875,92.464111328125,1,High,0,cooldown
2025-11-21T21:51:10.169249,156.78,0.1695,1260.2413330078125,3362.29931640625,82.83122253417969,1,High,0,cooldown
2025-11-21T21:51:11.070587,156.779,0.1845,1254.9666748046875,3339.984130859375,92.77043151855469,1,High,0,cooldown
2025-11-21T21:51:12.002782,156.78,0.2,1256.510986328125,3346.988525390625,89.33544921875,1,High,0,cooldown
2025-11-21T21:51:12.918467,156.78,0.2153,1256.461181640625,3346.830078125,89.43684387207031,0,Hold,0,hold
2025-11-21T21:51:13.831650,156.781,0.2305,1256.8841552734375,3348.56884765625,88.40071105957031,1,High,0,cooldown
2025-11-21T21:51:14.748600,156.78,0.2458,1260.623779296875,3363.9609375,82.1505126953125,1,High,0,cooldown
2025-11-21T21:51:15.717617,156.781,0.262,1256.0791015625,3345.32958984375,89.9849853515625,1,High,1,entry_executed
2025-11-21T21:51:17.383409,156.792,0.2897,1253.76904296875,3336.393310546875,92.46842956542969,1,High,0,cooldown
2025-11-21T21:51:18.308048,156.792,0.3051,1253.0770263671875,3333.3056640625,93.9129638671875,1,High,0,cooldown
2025-11-21T21:51:19.257049,156.792,0.321,1257.7232666015625,3351.8046875,86.25444030761719,1,High,0,cooldown
2025-11-21T21:51:20.183880,156.792,0.3364,1255.8682861328125,3345.05126953125,88.58915710449219,2,Low,0,insufficient_q_advantage
2025-11-21T21:51:21.269893,156.792,0.3545,1254.08056640625,3337.662109375,91.79496765136719,1,High,0,cooldown
2025-11-21T21:51:22.214376,156.805,0.3702,1257.9249267578125,3352.37158203125,85.80488586425781,1,High,0,cooldown
2025-11-21T21:51:23.147156,156.805,0.3858,1252.022705078125,3329.61376953125,94.58500671386719,1,High,0,cooldown
2025-11-21T21:51:24.082455,156.805,0.4014,1253.27880859375,3335.11376953125,92.1124267578125,1,High,0,cooldown
2025-11-21T21:51:25.062723,156.807,0.4177,1254.5936279296875,3340.33349609375,89.85087585449219,1,High,0,cooldown
2025-11-21T21:51:26.006140,156.804,0.4334,1249.7080078125,3318.4013671875,100.1248779296875,1,High,0,cooldown
2025-11-21T21:51:26.951131,156.804,0.4492,1253.04736328125,3334.072998046875,92.62956237792969,0,Hold,0,hold
2025-11-21T21:51:27.860883,156.803,0.4643,1253.28662109375,3335.00341796875,92.26847839355469,1,High,0,cooldown
2025-11-21T21:51:28.902493,156.808,0.4817,1252.5885009765625,3332.28369140625,93.14302062988281,1,High,0,cooldown
2025-11-21T21:51:29.844882,156.807,0.4974,1250.6973876953125,3323.499755859375,97.43400573730469,1,High,0,cooldown
2025-11-21T21:51:30.780867,156.807,0.513,1251.2333984375,3326.1015625,96.1239013671875,2,Low,0,insufficient_q_advantage
2025-11-21T21:51:31.714711,156.807,0.5286,1249.7249755859375,3318.78466796875,99.84626770019531,1,High,1,entry_executed
2025-11-21T21:51:33.298780,156.808,0.555,1252.151123046875,3330.40478515625,94.0750732421875,2,Low,0,insufficient_q_advantage
2025-11-21T21:51:34.290683,156.808,0.5715,1249.92919921875,3319.85986328125,99.20610046386719,1,High,0,cooldown
2025-11-21T21:51:35.252130,156.808,0.5875,1249.8038330078125,3319.224609375,99.47709655761719,1,High,0,cooldown
2025-11-21T21:51:36.168708,156.807,0.6028,1253.428955078125,3335.95849609375,91.66914367675781,1,High,0,cooldown
2025-11-21T21:51:37.074201,156.808,0.6179,1252.1259765625,3330.27587890625,94.11189270019531,1,High,0,cooldown
2025-11-21T21:51:38.033732,156.807,0.6339,1251.62158203125,3327.954345703125,95.34040832519531,1,High,0,cooldown
